epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,1058.5,0.5682,0.43467,0.87457,0.81026,0.73903,0.81247,0.6161,0.81602,0.84651,0.97707,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169
71,1072.7,0.55799,0.42802,0.86891,0.78536,0.77892,0.82419,0.61726,0.80639,0.79306,0.99029,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
72,1087.16,0.57545,0.44771,0.88349,0.78928,0.76448,0.81278,0.60913,0.80902,0.81737,0.99109,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971
73,1101.72,0.57122,0.44218,0.87459,0.77998,0.77574,0.80292,0.59506,0.85993,0.86883,1.01072,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
74,1116.79,0.56349,0.43359,0.88105,0.81478,0.7704,0.81329,0.60316,0.82504,0.82874,0.98894,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773
75,1132.45,0.56251,0.42737,0.87462,0.8023,0.7613,0.81624,0.61402,0.81586,0.80154,1.00462,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
76,1147.33,0.55606,0.43204,0.87665,0.80118,0.77698,0.82152,0.61809,0.82828,0.79382,1.00595,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
77,1162.36,0.5588,0.42949,0.87421,0.816,0.76647,0.81993,0.61857,0.8167,0.80448,0.99509,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
78,1177.37,0.5595,0.42652,0.87351,0.79733,0.7337,0.77633,0.59104,0.85352,0.92551,1.01758,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377
79,1192.29,0.55324,0.42526,0.87426,0.79801,0.76178,0.78652,0.59734,0.82158,0.88795,1.01155,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
80,1206.83,0.56233,0.42744,0.875,0.8238,0.76904,0.80865,0.61902,0.80394,0.83595,1.00268,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179
81,1221.67,0.54424,0.41099,0.86842,0.8022,0.77849,0.80134,0.61176,0.80219,0.82547,0.99477,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
82,1236.42,0.55671,0.42523,0.86912,0.8225,0.76256,0.79779,0.60799,0.83187,0.86694,1.01157,0.0275943,0.0091981,0.0275943,0.0091981,0.0275943,0.0091981,0.0275943,0.0091981
83,1251.15,0.54503,0.41992,0.8694,0.84859,0.76435,0.81556,0.61678,0.82007,0.80691,0.9959,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
84,1265.78,0.54479,0.41519,0.8651,0.81957,0.75252,0.80646,0.61093,0.82471,0.7923,1.011,0.0275349,0.0091783,0.0275349,0.0091783,0.0275349,0.0091783,0.0275349,0.0091783
85,1280.54,0.53167,0.4047,0.86957,0.82935,0.73081,0.80698,0.61154,0.83056,0.87386,1.01291,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
86,1295.45,0.54698,0.42268,0.86791,0.82352,0.72037,0.80811,0.61067,0.78641,0.85486,0.97444,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
87,1310.02,0.53899,0.41096,0.86633,0.82812,0.74005,0.81078,0.60488,0.80855,0.81944,0.98068,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
88,1324.8,0.53932,0.40986,0.86917,0.80495,0.7655,0.82118,0.61744,0.76786,0.79047,0.95351,0.0274161,0.0091387,0.0274161,0.0091387,0.0274161,0.0091387,0.0274161,0.0091387
89,1339.52,0.52658,0.40161,0.86456,0.80361,0.77835,0.80547,0.60572,0.80865,0.78797,0.99605,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
90,1354.5,0.53783,0.40934,0.86542,0.76083,0.78416,0.82131,0.61665,0.81443,0.79649,1.00925,0.0273567,0.0091189,0.0273567,0.0091189,0.0273567,0.0091189,0.0273567,0.0091189
91,1369.63,0.54333,0.41188,0.86925,0.83136,0.74221,0.8079,0.60716,0.81365,0.81577,0.99788,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
92,1384.53,0.52383,0.39574,0.86159,0.80017,0.74792,0.78557,0.59515,0.82641,0.85534,0.99584,0.0272973,0.0090991,0.0272973,0.0090991,0.0272973,0.0090991,0.0272973,0.0090991
93,1399.22,0.53092,0.40852,0.8699,0.83124,0.73337,0.80345,0.61119,0.82097,0.80785,1.00151,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
94,1414.42,0.53658,0.41187,0.86375,0.81889,0.7807,0.81879,0.61269,0.83063,0.80253,1.01569,0.0272379,0.0090793,0.0272379,0.0090793,0.0272379,0.0090793,0.0272379,0.0090793
95,1429.43,0.53287,0.40094,0.8675,0.83424,0.73126,0.7975,0.60296,0.79597,0.84043,0.97822,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
96,1443.9,0.52225,0.39375,0.86566,0.82321,0.75172,0.80797,0.61393,0.77253,0.78288,0.96459,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
97,1458.83,0.52533,0.39549,0.86842,0.74014,0.79881,0.79752,0.60725,0.78955,0.78198,1.00841,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
